term,label
http://purl.obolibrary.org/obo/CL_4030010,epithelial cell of proximal tubule segment 2
http://purl.obolibrary.org/obo/CL_1000850,macula densa epithelial cell
http://purl.obolibrary.org/obo/CL_1001033,peritubular capillary endothelial cell
http://purl.obolibrary.org/obo/CL_0002307,brush border cell of the proximal tubule
http://purl.obolibrary.org/obo/CL_1000691,kidney interstitial myofibroblast
http://purl.obolibrary.org/obo/CL_0002306,epithelial cell of proximal tubule
http://purl.obolibrary.org/obo/CL_1001432,kidney collecting duct intercalated cell
http://purl.obolibrary.org/obo/CL_1001111,kidney loop of Henle thin descending limb epithelial cell
http://purl.obolibrary.org/obo/CL_1000452,parietal epithelial cell
http://purl.obolibrary.org/obo/CL_4030021,kidney connecting tubule beta-intercalated cell
http://purl.obolibrary.org/obo/CL_1001107,kidney loop of Henle thin ascending limb epithelial cell
http://purl.obolibrary.org/obo/CL_1000695,kidney interstitial alternatively activated macrophage
http://purl.obolibrary.org/obo/CL_4030019,kidney connecting tubule intercalated cell
http://purl.obolibrary.org/obo/CL_4030013,kidney loop of Henle long descending thin limb outer medulla epithelial cell
http://purl.obolibrary.org/obo/CL_4030017,epithelial cell of late distal convoluted tubule
http://purl.obolibrary.org/obo/CL_1001285,vasa recta descending limb cell
http://purl.obolibrary.org/obo/CL_1001109,kidney loop of Henle cortical thick ascending limb epithelial cell
http://purl.obolibrary.org/obo/CL_1001096,kidney afferent arteriole endothelial cell
http://purl.obolibrary.org/obo/CL_4030020,kidney connecting tubule alpha-intercalated cell
http://purl.obolibrary.org/obo/CL_1000742,glomerular mesangial cell
http://purl.obolibrary.org/obo/CL_1000549,kidney cortex collecting duct epithelial cell
http://purl.obolibrary.org/obo/CL_1000715,kidney cortex collecting duct intercalated cell
http://purl.obolibrary.org/obo/CL_1000849,kidney distal convoluted tubule epithelial cell
http://purl.obolibrary.org/obo/CL_1000454,kidney collecting duct epithelial cell
http://purl.obolibrary.org/obo/CL_1000716,kidney outer medulla collecting duct principal cell
http://purl.obolibrary.org/obo/CL_0000648,kidney granular cell
http://purl.obolibrary.org/obo/CL_4030016,epithelial cell of early distal convoluted tubule
http://purl.obolibrary.org/obo/CL_4030014,kidney loop of Henle long descending thin limb inner medulla epithelial cell
http://purl.obolibrary.org/obo/CL_4030011,epithelial cell of proximal tubule segment 3
http://purl.obolibrary.org/obo/CL_1000547,kidney inner medulla collecting duct epithelial cell
http://purl.obolibrary.org/obo/CL_1000597,papillary tips cell
http://purl.obolibrary.org/obo/CL_1001099,kidney efferent arteriole endothelial cell
http://purl.obolibrary.org/obo/CL_1001005,glomerular capillary endothelial cell
http://purl.obolibrary.org/obo/CL_1000548,kidney outer medulla collecting duct epithelial cell
http://purl.obolibrary.org/obo/CL_4030012,kidney loop of Henle short descending thin limb epithelial cell
http://purl.obolibrary.org/obo/CL_1000546,kidney medulla collecting duct epithelial cell
http://purl.obolibrary.org/obo/CL_1000718,kidney inner medulla collecting duct principal cell
http://purl.obolibrary.org/obo/CL_1000839,kidney proximal straight tubule epithelial cell
http://purl.obolibrary.org/obo/CL_1000692,kidney interstitial fibroblast
http://purl.obolibrary.org/obo/CL_1000714,kidney cortex collecting duct principal cell
http://purl.obolibrary.org/obo/CL_1000838,kidney proximal convoluted tubule epithelial cell
http://purl.obolibrary.org/obo/CL_1000717,kidney outer medulla collecting duct intercalated cell
